"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","441593","111289009","Arteriovenous fistula of pulmonary vessels","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44783621","697902002","Associated pulmonary arterial hypertension","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of pulmonary circulationPulmonary artery findingDisorder of blood vessels of thoraxPulmonary hypertension'"">4"
"","4289309","70142008","Atrial septal defect","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4100152","253414002","Atrioventricular septal defect and common atrioventricular junction","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","35621810","763066009","Atrioventricular septal defect, blepharophimosis, radial and anal defect syndrome","Clinical Finding","Standard","07/30/2018","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40488397","448119006","Atrioventricular septal defect with atrioventricular valve regurgitation","Clinical Finding","Standard","07/30/2011","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3656105","871630004","Atrioventricular septal defect with ventricular imbalance","Clinical Finding","Standard","07/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4179877","362992004","Autoimmune connective tissue disorder","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36713763","718716008","Autoimmune hemolytic anemia mixed type","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4193236","78862003","Ayerza's syndrome","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4242669","92506005","Biventricular congestive heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36715093","720575002","Braddock syndrome","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of pulmonary circulationPulmonary artery findingDisorder of blood vessels of thoraxPulmonary hypertension'"">4"
"","318537","268174004","Bulbus cordis and cardiac septal closure anomalies","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4264636","60856006","Cardiac insufficiency following cardiac surgery","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3655302","860837007","Cardiomyopathy due to connective tissue disease","Clinical Finding","Standard","07/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4195892","79955004","Chronic cor pulmonale","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45768941","707480001","Chronic hemolytic anemia","Clinical Finding","Standard","01/30/2015","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4325865","429428003","Chronic hypercapnia","Clinical Finding","Standard","01/30/2008","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4140438","426896000","Chronic hypercapnic respiratory failure","Clinical Finding","Standard","07/30/2007","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4177862","428173007","Chronic hypoxemic respiratory failure","Clinical Finding","Standard","01/30/2008","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4284562","66989003","Chronic right-sided congestive heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4014159","10335000","Chronic right-sided heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4120094","233947005","Chronic thromboembolic pulmonary hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of pulmonary circulationDisorder of blood vessels of thoraxPulmonary hypertension'"">3"
"","255334","81573002","Collagen disease","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","764796","63191000119107","Complex congenital heart defect","Clinical Finding","Standard","02/28/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4099994","253272009","Congenital abnormality of cardiac connection","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","435646","36110001","Congenital anomaly of pulmonary artery","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4006984","111322000","Congenital anomaly of pulmonary veins","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4236884","405752007","Congenital atrial septal defect","Clinical Finding","Standard","01/30/2004","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","319793","399040002","Congenital central hypoventilation","Clinical Finding","Standard","07/30/2003","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","443401","363039000","Congenital connective tissue disorder","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40482455","445167000","Congenital dilation of right pulmonary artery","Clinical Finding","Standard","07/30/2010","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","605954","1141882007","Congenital endocardial fibroelastosis","Clinical Finding","Standard","07/30/2021","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","312723","13213009","Congenital heart disease","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40482502","445209005","Congenital hypoplasia of left pulmonary artery","Clinical Finding","Standard","07/30/2010","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40482501","445208002","Congenital hypoplasia of right pulmonary artery","Clinical Finding","Standard","07/30/2010","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4101572","27986000","Congenital pulmonary arteriovenous aneurysm","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3656140","871668002","Congenital right ventricular anomaly","Clinical Finding","Standard","07/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4245646","59494005","Congenital septal defect of heart","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","35625532","768552007","Congenital ventricular septal defect","Clinical Finding","Standard","07/30/2018","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44782428","101281000119107","Congestive heart failure due to cardiomyopathy","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","43021826","67441000119101","Congestive heart failure stage C","Clinical Finding","Standard","01/30/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","36712927","15629541000119106","Congestive heart failure stage C due to ischemic cardiomyopathy","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","43021825","67431000119105","Congestive heart failure stage D","Clinical Finding","Standard","01/30/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44782713","23341000119109","Congestive heart failure with right heart failure","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4134537","398021003","Connective tissue disease overlap syndrome","Clinical Finding","Standard","07/30/2003","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4176799","363045008","Connective tissue hereditary disorder","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4307356","83291003","Cor pulmonale","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4068742","204397009","Cor triloculare","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4298007","403814004","Cutis laxa secondary to inherited disorder of connective tissue","Clinical Finding","Standard","07/30/2003","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4132742","12770006","Cyanotic congenital heart disease","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","46270565","60651000119103","Dependence on continuous supplemental oxygen","Clinical Finding","Standard","07/30/2015","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","42873170","931000119107","Dependence on supplemental oxygen","Clinical Finding","Standard","07/30/2012","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","46273505","89201000119106","Dependence on supplemental oxygen when ambulating","Clinical Finding","Standard","07/30/2015","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","43021842","120891000119109","Diastolic heart failure stage C","Clinical Finding","Standard","01/30/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","43021841","120881000119106","Diastolic heart failure stage D","Clinical Finding","Standard","01/30/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4353837","251047005","Dilatation of pulmonary artery","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4185450","413994008","Dilated cardiomyopathy with connective tissue disorder","Clinical Finding","Standard","01/30/2005","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4037495","16253001","Dilated peripartum cardiomyopathy","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4190192","373434004","Disorder of blood vessels of thorax","Clinical Finding","Standard","07/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","253549","105969002","Disorder of connective tissue","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","36717034","300161000119106","Disorder of connective tissue co-occurrent and due to systemic disease","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","433208","39785005","Disorder of pulmonary circulation","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4165905","415992005","Disorder of right cardiac ventricle","Clinical Finding","Standard","07/30/2005","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","3656079","871601006","Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis Fallot type","Clinical Finding","Standard","07/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","715991","OMOP5160885","Drug or toxin induced pulmonary arterial hypertension","Clinical Finding","Standard","04/07/2022","12/30/2099","timeout","timeout","timeout","timeout","Condition","OMOP Extension",""
"","40403695","204311009","Eisenmenger's complex","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","40493243","445928005","Eisenmenger's syndrome","Clinical Finding","Standard","01/30/2011","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","435912","15459006","Endocardial cushion defect","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4337510","87394009","Episodic pulmonary hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4249398","40679002","Erythrocytosis due to alveolar hypoventilation","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4131130","127063008","Erythrocytosis due to cyanotic congenital heart disease","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","1340451","OMOP5166106","Exacerbation of pulmonary hypertension","Clinical Finding","Standard","05/05/2022","12/30/2099","timeout","timeout","timeout","timeout","Condition","OMOP Extension",""
"","4100857","190966007","Extreme obesity with alveolar hypoventilation","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4081040","276794009","Facultative pulmonary hypertension with shunt at atrial level","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4008090","111941005","Familial disease","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4119611","233944003","Familial primary pulmonary hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4121809","234161007","Familial pulmonary capillary hemangiomatosis","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4115239","301141002","Finding of pulmonary arterial pressure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","316139","84114007","Heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4215689","395105005","Heart failure confirmed","Context-dependent","Standard","01/30/2003","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","43020657","471880001","Heart failure due to end stage congenital heart disease","Clinical Finding","Standard","01/30/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","45766167","703275009","Heart failure with reduced ejection fraction due to cardiomyopathy","Clinical Finding","Standard","07/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783618","697897003","Heritable pulmonary arterial hypertension","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783620","697900005","Heritable pulmonary arterial hypertension due to ALK1 or endoglin mutation","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783619","697899000","Heritable pulmonary arterial hypertension due to BMPR2 mutation","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","46271074","709109004","Hypercapnic respiratory failure","Clinical Finding","Standard","07/30/2015","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","36679002","776416004","Hyperuricemia, pulmonary hypertension, renal failure, alkalosis syndrome","Clinical Finding","Standard","01/30/2019","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","437390","389087006","Hypoxemia","Clinical Finding","Standard","01/30/2003","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4288737","68926002","Idiopathic arterial calcification of infancy","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","442106","41969006","Idiopathic disease","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44782560","697898008","Idiopathic pulmonary arterial hypertension","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4173261","49778009","Idiopathic pulmonary arteriosclerosis","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","438782","40527005","Idiopathic pulmonary hemosiderosis","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","605120","1010447000","Illegal abortion complicated by cardiac failure","Clinical Finding","Standard","01/30/2021","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","43530961","609507007","Induced termination of pregnancy complicated by cardiac failure","Clinical Finding","Standard","07/30/2013","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","46272927","711379004","Interstitial lung disease due to connective tissue disease","Clinical Finding","Standard","07/30/2015","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4161597","373905003","Jervell and Lange-Nielsen syndrome","Clinical Finding","Standard","07/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4120093","233946001","Large vessel pulmonary hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","36714257","719400000","Lethal faciocardiomelic dysplasia","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4103448","25544003","Low output heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","3656094","871617000","Low output heart failure due to and following Fontan operation","Clinical Finding","Standard","07/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","36716111","721976003","Lung agenesis with heart defect and thumb anomaly syndrome","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","45768902","707433009","Lymphangioleiomyomatosis due to tuberous sclerosis syndrome","Clinical Finding","Standard","01/30/2015","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4343344","239297008","Lymphomatoid granulomatosis of lung","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","316994","83105008","Malignant hypertensive heart disease with congestive heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","36714239","719379001","Microcephalus with cardiac defect and lung malsegmentation syndrome","Clinical Finding","Standard","01/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","3654816","840306007","Mild pulmonary hypertension","Clinical Finding","Standard","07/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4134867","398049005","Mixed collagen vascular disease","Clinical Finding","Standard","07/30/2003","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","3654817","840307003","Moderate pulmonary hypertension","Clinical Finding","Standard","07/30/2020","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4314504","94702005","Multiple congenital cardiac defects","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4292533","402657003","Necrotizing vasculitis secondary to connective tissue disease","Clinical Finding","Standard","07/30/2003","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","37110330","724550005","Neonatal cardiac failure due to pulmonary overperfusion","Clinical Finding","Standard","07/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","257825","94920007","Neoplasm of uncertain behavior of lung","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4238669","58474006","Pericarditis secondary to collagen vascular disease","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","3174548","10090001000004100","Persistent pulmonary hypertension","Clinical Finding","Standard","01/27/2016","12/30/2099","timeout","timeout","timeout","timeout","Condition","Nebraska Lexicon",""
"","4121462","233815004","Persistent pulmonary hypertension of the newborn","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4236658","90727007","Pleural effusion due to congestive heart failure","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","37110682","724998006","Polyneuropathy co-occurrent and due to systemic connective tissue disorder","Clinical Finding","Standard","07/30/2017","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4120095","233948000","Post-arteritic pulmonary hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4233689","360573001","Postcapillary pulmonary hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","312383","62377009","Postpartum cardiomyopathy","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","618972","880005004","Postprocedural right ventricular perforation","Clinical Finding","Standard","01/30/2021","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783617","697896007","Precapillary pulmonary hypertension","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4203149","53043001","Primary idiopathic dilated cardiomyopathy","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4274635","64041007","Primary idiopathic restrictive cardiomyopathy","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4033160","10964002","Progressive pulmonary hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","4013643","11399002","Pulmonary arterial hypertension","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783626","697908003","Pulmonary arterial hypertension associated with chronic hemolytic anemia","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783624","697905000","Pulmonary arterial hypertension associated with congenital heart disease","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44782562","697906004","Pulmonary arterial hypertension associated with congenital systemic-to-pulmonary shunt","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783622","697903007","Pulmonary arterial hypertension associated with connective tissue disease","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783623","697904001","Pulmonary arterial hypertension associated with HIV infection","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","40482858","445237003","Pulmonary arterial hypertension associated with portal hypertension","Clinical Finding","Standard","07/30/2010","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
"","44783625","697907008","Pulmonary arterial hypertension associated with schistosomiasis","Clinical Finding","Standard","01/30/2014","12/30/2099","timeout","timeout","timeout","timeout","Condition","SNOMED",""
