"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","37395590","319841000119107","Rheumatoid lung disease with rheumatoid arthritis","Clinical Finding","Non-Standard","1,372","1,372","0","0","Condition","SNOMED","1"
"","37108602","1074651000119100","Arthritis of left glenohumeral joint","Clinical Finding","Standard","1,082","1,182","0","0","Condition","SNOMED","1"
"","4179147","298174007","Metatarsophalangeal joint inflamed","Clinical Finding","Standard","463","1,163","0","0","Condition","SNOMED","1"
"","37108605","1074691000119105","Arthritis of left elbow","Clinical Finding","Standard","253","1,040","0","0","Condition","SNOMED","3"
"","4179146","298173001","Subtalar joint inflamed","Clinical Finding","Standard","100","907","0","0","Condition","SNOMED","1"
"","37108606","1074721000119101","Arthritis of left wrist","Clinical Finding","Standard","746","846","0","0","Condition","SNOMED","3"
"","765257","1074791000119104","Inflammation of joint of both hands","Clinical Finding","Standard","0","740","0","0","Condition","SNOMED","2"
"","37108603","1074671000119109","Arthritis of right glenohumeral joint","Clinical Finding","Standard","489","589","0","0","Condition","SNOMED","1"
"","4184092","298175008","Interphalangeal joint of toe inflamed","Clinical Finding","Standard","0","577","0","0","Condition","SNOMED","1"
"","4185032","298166006","Metacarpophalangeal joint inflamed","Clinical Finding","Standard","0","508","0","0","Condition","SNOMED","1"
"","4322886","428104002","Arthritis of midtarsal joint","Clinical Finding","Standard","200","500","0","0","Condition","SNOMED","1"
"","37108616","1074951000119107","Bilateral arthritis of feet","Clinical Finding","Standard","172","472","0","0","Condition","SNOMED","2"
"","46273442","96531000119109","Deformity of hand due to rheumatoid arthritis","Clinical Finding","Standard","237","337","0","0","Condition","SNOMED","1"
"","759890","1074841000119101","Arthritis of right hip","Clinical Finding","Standard","0","200","0","0","Condition","SNOMED","2"
"","4334806","433228003","Deformity of foot due to rheumatoid arthritis","Clinical Finding","Standard","0","200","0","0","Condition","SNOMED","1"
"","4211939","416666007","Anterior uveitis due to juvenile idiopathic arthritis","Clinical Finding","Standard","200","200","0","0","Condition","SNOMED","1"
"","37108615","1074941000119105","Bilateral arthritis of ankle","Clinical Finding","Standard","100","200","0","0","Condition","SNOMED","2"
"","4060405","21430002","Dilated cardiomyopathy due to rheumatoid arthritis","Clinical Finding","Standard","151","151","0","0","Condition","SNOMED","1"
"","759886","1074641000119102","Inflammation of joints of bilateral shoulder regions","Clinical Finding","Standard","0","100","0","0","Condition","SNOMED","1"
"","762446","36941000119103","Arthropathy of multiple joints","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","2"
"","759889","1074831000119105","Arthritis of left hip","Clinical Finding","Standard","0","100","0","0","Condition","SNOMED","2"
"","4330635","431707004","Deformity of wrist due to rheumatoid arthritis","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","1"
"","42534830","1073491000119109","Infective arthritis of right hip","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","1"
"","42534841","1073891000119106","Deformity of left foot co-occurrent and due to rheumatoid arthritis","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","1"
"","42534840","1073881000119108","Deformity of right foot co-occurrent and due to rheumatoid arthritis","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","1"
"","42534839","1073871000119105","Deformity of left hand co-occurrent and due to rheumatoid arthritis","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","1"
"","42534863","1074711000119108","Bilateral arthritis of elbows","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","2"
"","37108608","1074741000119107","Bilateral arthritis of wrist","Clinical Finding","Standard","100","100","0","0","Condition","SNOMED","2"
"","759891","1074851000119104","Arthritis of left knee","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","759892","1074871000119108","Bilateral arthritis of knees","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","42535150","16024431000119108","Acute polyarticular juvenile idiopathic arthritis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","4299307","402429000","Rheumatoid linear subcutaneous bands","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37204149","16208721000119109","Juvenile rheumatoid arthritis of right knee","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37204148","16208561000119106","Juvenile rheumatoid arthritis of left knee","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","36686060","10684031000119107","Nodule of subcutaneous tissue of left hand","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","36686056","10683871000119102","Nodule of subcutaneous tissue of left upper limb","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","36686055","10683791000119106","Nodule of subcutaneous tissue of bilateral hands","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","36686052","10683671000119101","Nodule of subcutaneous tissue of bilateral upper limbs","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","36686072","10684511000119105","Nodule of subcutaneous tissue of right hand","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","36686068","10684351000119104","Nodule of subcutaneous tissue of right upper limb","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","36687163","15980751000119103","Bilateral temporomandibular joint arthritis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","36687162","15980711000119104","Arthritis of left temporomandibular joint","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","36687161","15980671000119103","Arthritis of right temporomandibular joint","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","2"
"","37309723","15744481000119106","Bilateral deformity of wrists due to rheumatoid arthritis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37309722","15744961000119106","Bilateral deformity of feet due to rheumatoid arthritis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37309724","15744441000119101","Bilateral deformity of hands due to rheumatoid arthritis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","42534838","1073861000119104","Deformity of right hand co-occurrent and due to rheumatoid arthritis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","765259","1074861000119102","Arthritis of right knee","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","765258","1074821000119107","Bilateral arthritis of hip","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","3654567","836472001","Spindling of fingers of bilateral hands due to rheumatoid arthritis","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","37209479","16041671000119109","Juvenile rheumatoid arthritis of bilateral knees","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
"","36684273","782398009","Nodule of subcutaneous tissue of hand","Clinical Finding","Standard","0","0","0","0","Condition","SNOMED","1"
