concept_id,concept_name,rationale
4319304,Autoimmune skin disease,PHOEBE Recommendation
72714,Chronic polyarticular juvenile rheumatoid arthritis,PHOEBE Recommendation
4033051,Chemical-induced dermatological disorder,PHOEBE Recommendation
4146124,Autoimmune vasculitis,PHOEBE Recommendation
4218083,Episcleritis,PHOEBE Recommendation
4316084,Subcutaneous nodule,PHOEBE Recommendation
4079731,Juvenile chronic arthritis,PHOEBE Recommendation
42872407,Arthritis of wrist,PHOEBE Recommendation
4286642,Arthritis of hip,PHOEBE Recommendation
36676836,Arthropathy of left knee joint,PHOEBE Recommendation
4312754,Occupational lung disease,PHOEBE Recommendation
36676837,Arthropathy of right knee joint,PHOEBE Recommendation
4259507,Juvenile idiopathic arthritis,PHOEBE Recommendation
4317266,Skin necrosis,PHOEBE Recommendation
440822,Periostitis,PHOEBE Recommendation
4218311,Undifferentiated inflammatory polyarthritis,PHOEBE Recommendation
4182711,Vasculitis of the skin,PHOEBE Recommendation
4300489,Cervical arthritis,PHOEBE Recommendation
4039691,Necrotizing vasculitis,PHOEBE Recommendation
4116447,Systemic onset juvenile chronic arthritis,PHOEBE Recommendation
4323882,Arthritis of acromioclavicular joint,PHOEBE Recommendation
761926,Mass of elbow region,PHOEBE Recommendation
437897,Acute rheumatic endocarditis,PHOEBE Recommendation
4025168,Diffuse interstitial pulmonary fibrosis,PHOEBE Recommendation
759888,Inflammation of joint of right hand,PHOEBE Recommendation
4005650,Drug-induced lesion,PHOEBE Recommendation
4185033,Finger joint inflamed,PHOEBE Recommendation
37108613,Arthritis of left foot,PHOEBE Recommendation
37117139,Arthritis of right foot,PHOEBE Recommendation
4051056,Autoimmune leukopenia,PHOEBE Recommendation
37108614,Arthritis of right ankle,PHOEBE Recommendation
37108607,Arthritis of right wrist,PHOEBE Recommendation
37108612,Arthritis of left ankle,PHOEBE Recommendation
37108602,Arthritis of left glenohumeral joint,PHOEBE Recommendation
4179147,Metatarsophalangeal joint inflamed,PHOEBE Recommendation
37108605,Arthritis of left elbow,PHOEBE Recommendation
4179146,Subtalar joint inflamed,PHOEBE Recommendation
37108606,Arthritis of left wrist,PHOEBE Recommendation
765257,Inflammation of joint of both hands,PHOEBE Recommendation
37108603,Arthritis of right glenohumeral joint,PHOEBE Recommendation
4184092,Interphalangeal joint of toe inflamed,PHOEBE Recommendation
4185032,Metacarpophalangeal joint inflamed,PHOEBE Recommendation
4322886,Arthritis of midtarsal joint,PHOEBE Recommendation
37108616,Bilateral arthritis of feet,PHOEBE Recommendation
4211939,Anterior uveitis due to juvenile idiopathic arthritis,PHOEBE Recommendation
37108615,Bilateral arthritis of ankle,PHOEBE Recommendation
759886,Inflammation of joints of bilateral shoulder regions,PHOEBE Recommendation
762446,Arthropathy of multiple joints,PHOEBE Recommendation
759889,Arthritis of left hip,PHOEBE Recommendation
42534830,Infective arthritis of right hip,PHOEBE Recommendation
42534863,Bilateral arthritis of elbows,PHOEBE Recommendation
37108608,Bilateral arthritis of wrist,PHOEBE Recommendation
759891,Arthritis of left knee,PHOEBE Recommendation
759892,Bilateral arthritis of knees,PHOEBE Recommendation
42535150,Acute polyarticular juvenile idiopathic arthritis,PHOEBE Recommendation
4299307,Rheumatoid linear subcutaneous bands,PHOEBE Recommendation
36686060,Nodule of subcutaneous tissue of left hand,PHOEBE Recommendation
36686056,Nodule of subcutaneous tissue of left upper limb,PHOEBE Recommendation
36686055,Nodule of subcutaneous tissue of bilateral hands,PHOEBE Recommendation
36686052,Nodule of subcutaneous tissue of bilateral upper limbs,PHOEBE Recommendation
36686072,Nodule of subcutaneous tissue of right hand,PHOEBE Recommendation
36686068,Nodule of subcutaneous tissue of right upper limb,PHOEBE Recommendation
36687163,Bilateral temporomandibular joint arthritis,PHOEBE Recommendation
36687162,Arthritis of left temporomandibular joint,PHOEBE Recommendation
36687161,Arthritis of right temporomandibular joint,PHOEBE Recommendation
765259,Arthritis of right knee,PHOEBE Recommendation
765258,Bilateral arthritis of hip,PHOEBE Recommendation
36684273,Nodule of subcutaneous tissue of hand,PHOEBE Recommendation
