concept_id,concept_name
45768456,Neuropathy due to unstable diabetes mellitus type 1
45763583,Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus
609097,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1
609108,Nonproliferative retinopathy of right eye due to diabetes mellitus type 1
45769834,Osteomyelitis due to type 1 diabetes mellitus
36713094,Peripheral angiopathy due to type 1 diabetes mellitus
318712,Peripheral circulatory disorder due to type 1 diabetes mellitus
37018566,Peripheral neuropathy due to type 1 diabetes mellitus
4222687,Persistent microalbuminuria due to type 1 diabetes mellitus
4222553,Persistent proteinuria due to type 1 diabetes mellitus
37017431,Polyneuropathy due to type 1 diabetes mellitus
3194119,Poorly controlled type 1 diabetes
3198350,Poorly controlled type I diabetes with circulatory disorder
3196797,Poorly controlled type I diabetes with complication
3192955,Poorly controlled type I diabetes with neuropathy
3192052,Poorly controlled type I diabetes with renal complication
4063042,Pre-existing type 1 diabetes mellitus
43531008,Pre-existing type 1 diabetes mellitus in pregnancy
43531009,Pregnancy and type 1 diabetes mellitus
45763584,Proliferative retinopathy due to type 1 diabetes mellitus
609115,Proliferative retinopathy of left eye due to diabetes mellitus type 1
609118,Proliferative retinopathy of right eye due to diabetes mellitus type 1
45757604,Proteinuria due to type 1 diabetes mellitus
200687,Renal disorder due to type 1 diabetes mellitus
45757266,Retinal edema due to type 1 diabetes mellitus
4227210,Retinopathy due to type 1 diabetes mellitus
45770986,Retinopathy due to unstable diabetes mellitus type 1
45771533,Rubeosis iridis due to type 1 diabetes mellitus
45773567,Sensory neuropathy due to type 1 diabetes mellitus
45769833,Severe malnutrition due to type 1 diabetes mellitus
765373,Severe nonproliferative retinopathy due to diabetes mellitus type 1
609110,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 1
609113,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 1
46269764,Skin ulcer of toe due to diabetes mellitus type 1
1340528,Slowly progressive insulin dependent diabetes mellitus type 1A
4143689,Small vessel disease due to type 1 diabetes mellitus
45769873,Traction detachment of retina due to type 1 diabetes mellitus
201254,Type 1 diabetes mellitus
4099215,Type 1 diabetes mellitus maturity onset
40484648,Type 1 diabetes mellitus uncontrolled
40484649,Type 1 diabetes mellitus well controlled
4152858,Type 1 diabetes mellitus with arthropathy
443412,Type 1 diabetes mellitus without complication
4099214,Type 1 diabetes mellitus with ulcer
45766051,Type I diabetes mellitus in remission
45757507,Ulcer of foot due to type 1 diabetes mellitus
45769892,Ulcer of forefoot due to type 1 diabetes mellitus
37312201,Ulcer of heel due to type 1 diabetes mellitus
45770902,Ulcer of lower limb due to type 1 diabetes mellitus
37312200,Ulcer of midfoot due to type 1 diabetes mellitus
45757074,Vitreous hemorrhage due to type 1 diabetes mellitus
765650,Cranial nerve palsy due to diabetes mellitus type 1
