concept_id,concept_name
2107560,"Rheumatoid arthritis (RA) disease activity, high (RA)"
2107558,"Rheumatoid arthritis (RA) disease activity, low (RA)"
2107559,"Rheumatoid arthritis (RA) disease activity, moderate (RA)"
42539550,Rheumatoid arthritis with erosion of joint
4297651,Rheumatoid arthritis with nailfold/finger-pulp infarcts
4103516,Rheumatoid carditis
4300202,Rheumatoid episcleritis
608042,Rheumatoid factor positive and anti-citrullinated protein antibody negative juvenile polyarthritis
608041,Rheumatoid factor positive and anti-citrullinated protein antibody positive juvenile polyarthritis
36684997,Rheumatoid factor positive rheumatoid arthritis
36684998,Rheumatoid factor positive rheumatoid arthritis of the shoulder
4184896,Rheumatoid fibrosing alveolitis
256197,Rheumatoid lung disease
4347065,Rheumatoid necrotizing vasculitis
4299308,Rheumatoid neutrophilic dermatitis
40400211,Rheumatoid nodule
37207812,Rheumatoid nodule of subcutaneous tissue of left elbow
37207813,Rheumatoid nodule of subcutaneous tissue of left hand
37207814,Rheumatoid nodule of subcutaneous tissue of right elbow
37207815,Rheumatoid nodule of subcutaneous tissue of right hand
4270869,Rheumatoid nodulosis
4030424,Rheumatoid osteoperiostitis
4296152,Rheumatoid pericarditis
4162539,Rheumatoid pneumoconiosis
4243509,Rheumatoid scleritis
4271003,Rheumatoid vasculitis
601035,Right ankle seropositive rheumatoid arthritis
601036,Right elbow seropositive rheumatoid arthritis
605413,Right foot seropositive rheumatoid arthritis
601045,Right hip joint seronegative rheumatoid arthritis
601047,Right shoulder region seronegative rheumatoid arthritis
601048,Right wrist region seronegative rheumatoid arthritis
601038,Right wrist region seropositive rheumatoid arthritis
4083556,Seronegative rheumatoid arthritis
603308,Seronegative rheumatoid arthritis in remission
37209328,Seronegative rheumatoid arthritis of bilateral hands
601039,Seronegative rheumatoid arthritis of joint of left ankle
601044,Seronegative rheumatoid arthritis of joint of right ankle
37207808,Seronegative rheumatoid arthritis of left hand
601041,Seronegative rheumatoid arthritis of left knee joint
37207809,Seronegative rheumatoid arthritis of multiple joints
37207810,Seronegative rheumatoid arthritis of right hand
601046,Seronegative rheumatoid arthritis of right knee joint
4147418,Seropositive erosive rheumatoid arthritis
4035611,Seropositive rheumatoid arthritis
603309,Seropositive rheumatoid arthritis in remission
37209329,Seropositive rheumatoid arthritis of bilateral hands
601033,Seropositive rheumatoid arthritis of joint of left shoulder region
601037,Seropositive rheumatoid arthritis of joint of right shoulder region
601032,Seropositive rheumatoid arthritis of left hand
37207804,Seropositive rheumatoid arthritis of left hip
37207805,Seropositive rheumatoid arthritis of left knee
37108714,Seropositive rheumatoid arthritis of multiple joints
609061,Seropositive rheumatoid arthritis of right hand
37207806,Seropositive rheumatoid arthritis of right hip
37207807,Seropositive rheumatoid arthritis of right knee
4142899,Subcutaneous rheumatoid nodule
607145,Systemic rheumatoid vasculitis
4311391,Uveitis-rheumatoid arthritis syndrome
